
2023/10/24 (09:24:43) | ===> btop++ v.1.2.13
2023/10/24 (09:24:43) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2023/10/25 (11:54:54) | ===> btop++ v.1.2.13
2023/10/25 (11:54:54) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2023/11/10 (15:03:39) | ===> btop++ v.1.2.13
2023/11/10 (15:03:39) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2023/11/10 (15:04:09) | ===> btop++ v.1.2.13
2023/11/10 (15:04:09) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2023/11/27 (15:20:55) | ===> btop++ v.1.2.13
2023/11/27 (15:20:55) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2023/12/09 (23:04:09) | ===> btop++ v.1.2.13
2023/12/09 (23:04:09) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2023/12/09 (23:06:34) | ===> btop++ v.1.2.13
2023/12/09 (23:06:34) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2023/12/19 (11:53:05) | ===> btop++ v.1.2.13
2023/12/19 (11:53:05) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/02/22 (19:43:28) | ===> btop++ v.1.3.2
2024/02/22 (19:43:28) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2024/02/22 (19:43:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/14 (13:02:39) | ===> btop++ v.1.3.2
2024/03/14 (13:02:39) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2024/03/14 (13:02:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/29 (12:28:52) | ===> btop++ v.1.3.2
2024/03/29 (12:28:52) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2024/03/29 (12:28:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/06 (00:03:51) | ===> btop++ v.1.3.2
2024/04/06 (00:03:51) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2024/04/06 (00:03:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/19 (10:03:48) | ===> btop++ v.1.3.2
2024/04/19 (10:03:48) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2024/04/19 (10:03:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/23 (09:14:58) | ===> btop++ v.1.3.2
2024/05/23 (09:14:58) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2024/05/23 (09:14:59) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
